,label,score
212,"have many names. This table shows different kinds of bridges. Building bridges is a big job. It can take many years to build a bridge. And it costs millions of dollars. Some bridges cross large bodies of water. Let look at a bridge being built over a river. First, workers ",1
425,"ereaddatareading-a-z-extractgraderazlbcookies.htm Vegetables We make cookies We put in some flour. We put in a little salt. We put in some milk. We mix it up. We put in some sugar. We put in two eggs. We put in some butter. Dad puts in the oven. Yum, yum. ",1
458,wheat to the mill. This baker is a worker. He uses flour to bake bread. This dad is a worker. He makes dinner for his family. This farmer is a worker. He farms wheat for bread. This miller is a worker. She grinds wheat into flour. This grocer is a ,1
435,"now you have a lot of food to eat. And that is good because tomorrow you are going to be on our dinner plates Tomorrow you are going to be on our dinner plates Oh, my What could the ram do He ate all the food in the pen. And ",1
422,This is a teacher. He is an important helper. He lives in our community. This is a baker. He is an important helper. He lives in our community. This is a police officer. She is an important helper. She lives in our community. This is a doctor. She is an ,1
459,tool. It is a rake for raking. Here is a tool. It is a shovel for digging. Here is a tool. It is a wheelbarrow for carrying. Here is a tool. It is a pencil for writing. Here is a tool. It is a hammer for pounding. Here is a ,1
449,Vegetables Paint it Purple I like purple paint. I paint the fence purple. I paint my shoes purple. I paint the door purple. I paint my swing purple. I paint the hose purple. I paint the grass purple I paint my mom purple. Mom does not like purple ,1
13,none referrer bookmark document.write debug referrer 'harcourt' Attempting to forward referrer referrer else document.write debug referrer was harcourt referrer referrer ; Here is a place to watch a house being built. We are just starting to build. Click ,1
48,"do it yourself by reading the directions When you finish your work, show it to a grownup. Say, I did it myself Follow the directions to finish the picture Print this page and wait for the ink to dry. Color the big duck yellow. Color the big duck' beak orange. ",1
24,"the ground going into the cave. Oh, my he said. Who is in my house The Caterpillar said in a loud voice, It is I Yes, I who is bigger than rhinos and stronger than elephants The Hare was scared. He thought, I am too small to get an animal ",1
37,"had promised to take her to the park. It was the first day of Spring. Stephanie loved spring. It was her favorite season of the year. It was a beautiful sunny afternoon. The sky was a pretty shade of blue. There were fluffy, white clouds in the sky. ",1
456,eggs. A pig in a wig and a dog in a bog. How many rhymes each day A flag in a bag and a nag with a tag. How many rhymes did I say A pig in a wig and a dog in a bog. How many rhymes ,1
420,"change into Butterflies. Andy tiny acorn nuts grow into Great big oak trees. My life has been full of changes. Sometimes I don feel good about them, But then later it gets better. Dad said that we can get another kitty. That makes me feel better. I don ",1
419,they hatch. I am a blue whale. I am the largest mammal ever to live. I make deep sounds that move through water. I eat tiny animals called krill. I am a dolphin. I have a sleek body and a strong tail to swim fast. I live in a group ,1
233,"Let take him to Doctor Jen. When my family is sick, we go to Doctor Jen. She makes us feel better. My brother is sick. He has a tummy ache. Let take him to Doctor Jen. My mother is ill. She has a sore throat. Let take ",1
427,It rolls over the bridge. Faster and faster. The wheel rolls through the town. It rolls past the policeman. Faster and faster. It rolls done the hill. Faster and faster. The wheel rolls through the barn. It rolls past the chickens. Faster and faster. The wheel ,1
445,little hand was just past the nine. The big hand went around and around. It went around five times. It took Dillon five hours and twenty minutes to build the boat. Does it take seconds Does it take minutes Does it take hours Pablo finished making the sandwich. The big ,1
464,"Dad. Look at the red and gold leaves on the trees. See the orange pumpkins in the garden. And listen to the dry leaves crunching under our feet, said Pam. Crunch, crunch, crunch I smell smoke in the air. Mr. Jones must have a fire in his fireplace, said Mom. ",1
446,is made of silk. Whose eggs are these These large eggs aren in a nest or case. They sit on cold rocks. But feathers help keep them warm. Whose eggs are these This strange egg floats in the ocean. It is inside a flat square case. Whose eggs ,1
466,"Kangaroo. I can climb up higher, said Bear. I can lift a goat, said Kangaroo. I can lift a goat, said Kangaroo. I can lift six goat, said Bear. I can make a mean face, said Kangaroo. I can make a meaner face, said Bear. I can eat lots of ",1
415,the woods. They fly around. I see a fox in the woods. It goes into a log. The fox sees me. I see a bear in the woods. It is hiding in the bushes. The bear sees me. I see a squirrel in the woods. It climbs up a tree. ,1
467,"Next, she puts on her red nose. It honks if you squeeze it. What does she do next Then she gets dressed. She puts on a polka dot jacket and striped pants. And she puts on big, floppy shoes. First, she puts on white face paint. What comes next How ",1
438,"in the pond. They breathe under the water. Down in the mud, mama fish lays eggs. Later on, papa fish watches the babies. The pond is like a small world. It is home to many plants and fish. It is home to many reptiles and other animals. Big ",1
1,houses and buildings. Did you know that animals in nature also live in communities Each kind of animal has a different home. Each kind of animal does something different to live. Some animals eat plants and live in holes in the ground. Some animals eat other animals. Click on the ,1
443,"can I drive the car I asked. When you are grown up, said Dad. When can I go out at night I asked. When you grow up, Dad said. When can I eat anything I want I asked. When you grow up, Mom said. When can I go to the ",1
156,"or I will die all alone, he called as a duck walked by. The duck felt sorry for the old lion, and she walked into the den. The lion ate the duck. He ate a deer, a wolf, and a rabbit. Oh I am so sick. Please, come to see ",2
454,"she woke up. I told you not to play any tricks on me, Huenna said. She was very angry. While Makusani was trying to explain that he was only playing, she turned into a tinamou bird and flew away. Makusani was alone again. He was even more lost than before. ",2
312,"The teams lined up, ready to play. The boys on the Sharks team pointed at Jessica. They laughed at her because her shirt was so big. It reached her knees. The Sharks were a very good team. After only five minutes of play, they scored a goal. The Dragons were ",2
150,nice to have it on his own head. He picked it up and put it on. The hat covered George' head. He couldn' see. The man picked him up quickly and popped him into a bag. George was caught. The man with the big yellow hat put George into a ,2
315,"my family. Raven hopped to the fire. He spread his tired wings to the warmth. Tell us, Raven, said the man, where have you come from Caw, cahaw, caaaw, ca, ca, caw, said Raven, eager to share his story. The people around the fire just stared at him, unable to ",2
132,"air that we breathe is matter. It takes up space and has weight, but you can' see it. You can see it take up space if you blow up a balloon The balloon is full of air. Water is matter. It takes up space and has weight. Everything in our ",2
447,a deep crevasse. I Glaciers carved deep scars in these rocks in Ohio. Continental glaciers form in the middle of continents. They flow toward the coasts. Valley glaciers flow down mountains. A very fast glacier can flow meters ft. in one day. But that is very unusual. ,2
141,"cold it freezes. To freeze is to become very cold and turn into a solid. When liquid water freezes it turns into ice. Ice is the solid form of water. All liquids can freeze and turn into ice. When you freeze juice, you get a popsickle Solids and gases can ",2
334,"choose I want shoes that are slicky, not sticky. Hmmm. Let me see. We have jog shoes, and log shoes, and hop like a frog shoes. We have tied shoes, and wide shoes, and carnival ride shoes. We have trail shoes, and snail shoes, and wind in your ",2
325,mom and ran off. But something swooped down. A giant bird It picked up her mom and flew away Help Hilary Help Hilary got in the plane and took off after the bird. She flew right above it and climbed down a rope. But the bird dropped her mom ,2
328,"fort. The warriors were thrilled to capture him. The warriors took Boone and his companions all the way to Chillicothe, Ohio. The trip on foot was long and difficult. Along the way, the Native Americans became impressed with Daniel skill in the forest. This skill was rare in a European. ",2
124,"help birds hide from predators, or other animals who hunt them for food. Feathers help males get a mate Birds are warm blooded, which means that their body temperature does not change when the temperature of their surroundings changes. Just like a mammal' body temperature, a bird' body temperature stays ",2
25,with the cutting. And always have an adult around when working near a hot stove. To cook rice you need these tools A measuring cup A saucepan with a lid A strainer You also need these things cups of long grain rice cups ,2
412,"fish swim close to sharks, waiting for scraps of food to float by when the shark feeds. Other small fish, called cling fish, cling to the shark body and keep the shark skin free of parasites. Cling fish also feed on leftovers from shark meals. Cling fish attach themselves to ",2
162,"other vertebrates. Some fish can live for a while in a dried up creek or river, but most fish die quickly out of water. Fish are cold blooded, which means that the temperature of their bodies changes with the temperature of the water around them Fish are found in very ",2
258,details that explain what you have just read is about. Let' say that you just read the story of The Three Little Pigs. Here is a summary of this story as a second grader might write it The Three Little Pigs is about three pigs and a wolf. The wolf ,2
206,Spears that she wouldn let me get. It wasn. . The surprise was a parakeetmy great aunt parakeetwhich my greataunt husband my great uncle had given to my mother. Mom said the parakeet was very special because it had belonged to my great aunt. She said she knew I ,2
234,"the nightingale, but you should not be. The feathers on your neck shine with every color of the rainbow. And your tail looks like it is covered in gems. No one has it all. The falcon is very fast. The eagle is very strong. The parrot can speak. The raven ",2
268,"my spare pony. Wind in the Treetops was very glad and grateful. After a long, long march, the scouts returned. They said, We see the buffaloes. Then every man got on his swiftest pony. The leaders of the hunt directed them to circle around the buffaloes. The hunters went very ",2
199,feed on floating or underwater plants. A manatee can eat up to percent of its body weight each day. Imagine if you did that. The average man would have to eat almost kilograms lbs. of food a day. Manatees also spend a great deal of time restingup to hours ,2
273,"of his stuff. But that didn stop Sammy from collecting more stuff. And he never threw anything away. He just got newer stuff to stuff away with his older stuff. When someone asked to borrow some of Sammy stuff, Sammy refused. He said, It is my stuff, and I want ",2
278,"birds. Golden eagles and bald eagles live in the open country of western North America. The golden eagle can also be found in Europe, Asia, and northern Africa. Eagles use sticks to build nests that are larger than bathtubs. I I Golden eagle Bald eagle Peregrine falcon Falcons are fast ",2
282,"to dig up dirt and rocks. They put dirt and rocks into giant dump trucks that carry it away. Some dump trucks are so big that they can carry enough dirt to equal the weight of elephants. I Graders smooth out the roadway, and payers lay the road surface onto ",2
285,psognathus There were not as many kinds of plants living when dinosaurs roamed the earth. Trees and bushes were the most common plants. These early plants did not have fruit or nuts. But the plant eating dinosaurs had plenty of leafy green plant parts to eat. Types of Dinosaurs The ,2
186,"can name them all Scientists have put animals into groups, or Classes, by studying their bodies Mammal Bird Reptile Fish Amphibian Some animals have backbones. Animals with backbones are called vertebrates. You have seen many of these animals This chart shows Animal Classes and an example of an animal ",2
461,"and the young are born alive. Larva Most eggs hatch into a worm like stage called a larva vuh. Caterpillars, grubs, and maggots are larvae. They have long bodies and many legs. Almost all larvae are eating machines. A larva can eat more than its own body weight in ",2
12,Directions Use the reading sheet to help you answer the questions What are two places that amphibians live Write two facts about an amphibian' skin Write the name of an amphibian that lays its eggs in water Write the four most important facts you read about ,2
181,"in the cold because their bodies helped them. They had tusks that were very long. The tusks curled up at the ends. Mammoths used their tusks to scrape the snow off grass and plants so they could eat them. Mammoths had long, shaggy hair to help keep them warm. The ",2
295,"touch the ceiling. He didn know where to start. Ryan did a little more here and there, but he kept getting distracted by other work waiting for him. What if he couldn finish it What would Ms. Rose do Finally, he couldn even locate the homework he started with. It ",2
174,"the picture on its cover. Write two or three sentences telling what you think the book will be about and what you might learn by reading it Also, tell whether the book will be a true story fact or a made up story fiction. Polar Bears by Ursus Major ",2
298,"year. Large brain corals can be thousands of years old. There are three types of coral reefs fringing reefs, barrier reefs, and atolls. Fringing reefs sit close to the shore. They are common in Hawaii and parts of the Caribbean. Barrier reefs have a larger lagoon, or area of water ",2
169,Sheet Directions Use the reading sheet to help you answer the questions Where do all fish live What do fish use to breathe with What are fish called when they hatch Write the four most important facts you read about fish Image credit ,2
241,"beats, and you digest food without thinking. It just happens. For other things, the brain tells muscles what to do. The brain decides what to do based on information from your sense organs. What it does depends a lot on what you have been taught. If you see the problem ",2
301,Reptiles Comprehension Sheet Directions Use the reading sheet to help you answer the questions Name three reptiles that don' make good pets What does cold blooded mean What do reptiles use to breathe with Write the four most important facts you read about reptiles ,2
252,i Newfoundland Herding Dogs The Samoyed comes from the coldest parts of Asia. Samoyeds were first used to guard and herd reindeer. Today they work as sled dogs. Their weatherproof coat is extra thick for warmth. Their stocky shape helps keep body heat inside. Herding dogs are fast moving and ,2
457,"the arms and legs. Puppeteers move the rods and wires to make the puppet wave, gesture, walk, hop, run, and dance. Rod puppets may also have controls that move the mouth, eyes, and eyebrows. These movements change the look of the puppet face. Rod puppet mouth controls Put a ",2
305,speed was just fast enough to keep it from crashing into the Earth. It circled about miles above the Earth. Piloting a plane Sally wrote a book about her space travels. She wrote that the best part of being in space was being weightless. She told how the crew moved ,2
348,"you are real. I hope you are not just in my imagination. Here is my wish. I wish for crops to feed my people. And I wish for warm rains to help the crops to grow and to bring water to the villages. That two wishes, said the wind. I ",2
0,to find out how the adaptations help the polar bear live in the Arctic. White Looking Coat has been done for you. Adaptation How it Helps the Polar Bear Live in the Arctic Slightly Webbed Toes Thick Wooly Fur Hollow Guard Hairs Thick Layer of Fat White Looking Coat White ,2
389,"it was not a proper home for a hermit crab. Whenever Keb wanted to go out, he felt naked. To hide his nakedness, Keb tried everything. First he gathered feathers he found along the shore and strung them together with old fishing line. Then he wrapped them around his soft ",2
370,"dogfight, or fight other planes in the air. Mail planes ship packages overnight. People also fly planes for fun. This cargo plane can hold kilograms lbs. Large military helicopters with two rotors carry troops to remote areas. Helicopters also help fight wildfires. Troops board a military helicopter. A large ",2
96,changed his name to Troika. Now Troika was a real hero for what he did to save my life. But it didn stop there. And that is why he became my superhero. Now for the rest of the story. What made Troika a superhero began when I entered a dogsled ,2
69,"The boys were best friends. The boys had disappointed their teacher. The principal was a nice man. Submit Reload Quiz You got out of correct. Your Score Yes, indeed, Tommy and John had disappointed their teacher. What are the clues We know the boys were mad at each ",2
368,"Earhart was perfect, and she was eager to go. Amelia Earhart Flier and... In her lifetime, Amelia worked at many lobs. At that time, it was unusual for women to have lobs at all Nurse Magazine editor Social worker Writer Pilot i Airline executive ",2
377,"tall is the cylinder on the right We have blocks of ice on one side of the seesaw. On the other side, we have blocks of ice. The blocks of ice each weigh the same amount. What do we need to do to make the seesaw ",2
406,"pangolin turn. Its body was covered with rough scales. The pangolin was very slow. If the pangolin had any thoughts about the dog, no one would hear them. The pangolin looked at the sleeping dog for a very long time. Then it rocked back and forth, settled to the ground, ",2
426,sounded like someone was singing. It was really pretty. I probably wouldn have found the mermaid at all Sarah hadn had to go to the bathroom. Sybil always goes wherever Sarah goes. The two of them climbed down from the rocks and ran over to a bunch of trees. I ,2
363,"deep sleep. Interviewer Ohlike curled. It must be quite a sight. ff Yesit neat to see them all lying down when I arrive in the morning. Interviewer Can you think of something funny that happened to you working at the zoo Teff A few years ago, we had ostriches outside ",2
78,splashes to the sound of an orchestra. French horn Keyboard instruments include the piano and organ. These instruments have closed cases that hide the inside of the instrument. Pianos have strings that vibrate. Organs create sound by the use of wind. These instruments all have many keys that can create ,2
213,"the nutcracker take Clara to a magic kingdom He was a toy. She tried to help him. She liked the Sugar Plum Fairy. Do you like to go flying Years before the airplane was invented, many people tried to fly. One of these people was a man who made a ",2
403,"summer day. But ice wasn nice. It wasn nice at all. It was the coming of an ice age. I It wasn long before it began to get cold and colder and colder. The Theropods could see great mounds of iceglacierscreeping down from the mountains. We must move from here, ",2
359,"the wind sing through my branches. Look, Baby, weve got some grown up tree things to discuss. It would just be better if you were asleep, that all. I just won listen. inner, ninner, ninner. I can hear you. Stop itl Baby Pine lower lip begins to ",2
229,"can animals live in such different places in the world Animals can live in many different places in the world because they have special adaptations to the area they live in. An adaptation is a way an animal' body helps it survive, or live, in its environment. Let' look at ",2
430,degrees Fahrenheit. It is almost the same as a human. Blowhole of a gray whale with barnacles Arteries Blubber Muscle Whales have a thick layer of fat called blubber. The blubber lies just beneath the skin. It can be up to centimeters in. thick. The layer of ,2
36,"air. Water is matter. It takes up space and has weight. Everything in our whole world is made of matter Matter can be classified. To classify is to sort things into groups they belong in. The three forms of matter are solids, liquids, and gases. A solid is something you ",2
439,the library. Directions Click on both of the tools. Print both of the tools. Explore Click on Arctic Animals or Ice Age Mammals. Scroll down the page until you see the animal pictures. You can also check out books from the library once you choose your animal Click on the ,2
246,"dropped the worm straight into his pitcher. It was a nice treat for Harold after only eating ants for the last few weeks. But he still wanted a red jellybean. A week later, April brought Harold more insects. Harold thought about jellybeans. He thought and thought as hard as he ",2
416,to share my parents with anybody or anything. One more person will make it too crowded in our house. I know I not going to like it. My friend Jeff got a baby sister last year. He told me that now she is the only thing his parents ever talk ,2
355,"was up, too. The cat thought the UpDown boy was funny. No more rubbing on the little boy legs that could kick and bump. Now the cat rubbed on UpDown Boy cheeks and nosetickly, tickly nose. Oh, oh, oh ka chewl The puppy that lived down the street was the ",2
224,"or tack with the nail. What happens How many paper clips can your magnet pick up Ia . . .. I . .. . ., .. lIlp.rn .a.. A.. . ,, . Sea.It I .., a.ei HeB,.a.i .i .aaIa...vI . ",2
115,Use the reading sheet to help you answer the questions What do birds have that no other animals have What are three important jobs that feathers do How are baby birds born Write the three most important facts you read about birds Image ,2
47,"and rolled over and over. He scooted through the dirt and manure. When he found the biggest pile of cow manure, he jumped on it. Through the fence and into the barnyard he went. When he had enough, Clyde stood up. Again he stuck his nose high into the air. ",2
351,"ereaddatagradeladybug.htm ladybug PAGEAfter reading the story, draw a picture of the main character. Circle the words below that describetell about the main character. friendly cheerful respectful selfish brave smart mean happy bold bossy rude hungry What did the main character learn about respect ",2
87,"her best friend, Katy. Questions Where are Mary and Jack going tomorrow Why are they so excited about going there Inference Card Mr. and Mrs. Smith got home at Tuesday evening. John was very happy to see them because they had been gone all day. He ran around ",2
60,"rubble of fallen buildings. In hot, humid climates, termites damage buildings by eating the wood. They are hard to kill because they are hard to find. Specially trained beagles can smell where termites are nesting. Then people with special chemicals can get rid of them. Hunting Dog Dogs can find ",2
421,"tray with gleaming jewels and wrapped it in rags. The Sultan guards would have thrown her out, but the Sultan was curious as to what was hidden inside the bundle. He ordered Aladdin mother into his hall. Aladdin mother bowed low, holding up the rag bundle, which was scarcely distinguishable ",3
286,he was sleeping all winter long. He went to the river to catch some fish. But he was lucky he didn' need to catch his own fish a boy was fishing he had plenty of fish. But a bigger bear had the same idea. They had a fight over the ,3
